job_name                                                    ;walltime  ;nproc_io  ;nprocs    ;nnode     ;nthreads  ;nnode_fc  ;ntask_fc  ;nopmp_fc  ;nnode_io  ;ntask_io  ;nopmp_io  ;
L3_FCST_NHE_SL2_VFD_AROPHYSFEX_GWADV2_PCFMAD_AROMOC0500     ;       360;         0;       768;        24;         4;        24;        32;         4;         0;         0;         0;
L3_FCST_NHE_SL2_VFD_AROPHYSFEX_GWADV2_PCCMAD_AROMOC0750     ;       120;         0;       768;        24;         4;        24;        32;         4;         0;         0;         0;
L3_FCST_NHE_SL2_VFD_AROPHYSFEX_GWADV2_PCFMAD_AROMOC0750     ;       120;         0;       768;        24;         4;        24;        32;         4;         0;         0;         0;
L3_FCST_NHE_SL2_VFD_AROPHYSFEX_GWADV2_PCCMAD_AROMOC1000     ;        90;         0;       512;        16;         4;        16;        32;         4;         0;         0;         0;
L3_FCST_NHE_SL2_VFD_AROPHYSFEX_GWADV2_PCFMAD_AROMOC1000     ;        90;         0;       512;        16;         4;        16;        32;         4;         0;         0;         0;
L3_FCST_NHE_SL2_VFD_AROPHYSFEX_GWADV2_PCCMAD_AROMOC1300     ;        60;         0;       256;         8;         4;         8;        32;         4;         0;         0;         0;
L3_FCST_NHE_SL2_VFD_AROPHYSFEX_GWADV2_PCFMAD_AROMOC1300     ;        60;         0;       256;         8;         4;         8;        32;         4;         0;         0;         0;
L3_FCST_NHQ_SL2_VFD_AROPHYSFEX_GWADV2_PCCMAD_AROMOC0500     ;       360;         0;       768;        24;         4;        24;        32;         4;         0;         0;         0;
L3_FCST_NHQ_SL2_VFD_AROPHYSFEX_GWADV2_PCFMAD_AROMOC0500     ;       360;         0;       768;        24;         4;        24;        32;         4;         0;         0;         0;
L3_FCST_NHQ_SL2_VFD_AROPHYSFEX_GWADV2_PCCMAD_AROMOC0750     ;       120;         0;       768;        24;         4;        24;        32;         4;         0;         0;         0;
L3_FCST_NHQ_SL2_VFD_AROPHYSFEX_GWADV2_PCFMAD_AROMOC0750     ;       120;         0;       768;        24;         4;        24;        32;         4;         0;         0;         0;
L3_FCST_NHQ_SL2_VFD_AROPHYSFEX_GWADV2_PCCMAD_AROMOC1000     ;        90;         0;       512;        16;         4;        16;        32;         4;         0;         0;         0;
L3_FCST_NHQ_SL2_VFD_AROPHYSFEX_GWADV2_PCFMAD_AROMOC1000     ;        90;         0;       512;        16;         4;        16;        32;         4;         0;         0;         0;
